University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,11,2018,37.63636364,35.52727273,12.8,0,83.13,1
1,11,2018,36.21818182,36.36363636,11.6,0,83.02,1
1,11,2018,34.72727273,35.34545455,12,0,81.67,1
1,11,2018,34.29090909,34.94545455,12,0,80.96,1
1,11,2018,35.49090909,32.61818182,15.2,0,80.89,1
1,11,2017,35.89090909,34.65454545,12.8,2,79.9,1
1,11,2018,38.83636364,33.92727273,11.6,0,79.51,1
1,11,2018,37.81818182,35.38181818,10.4,0,79.39,1
1,11,2018,37.49090909,34.69090909,11.6,0,79.09,1
1,11,2018,35.67272727,34.32727273,10.8,0,78.78,1
1,11,2017,35.2,34.76363636,12,2,77.59,1
1,11,2017,36.98181818,31.01818182,14,2,76.99,1
1,11,2018,33.23636364,31.85454545,12.4,0,76.87,1
1,11,2018,33.34545455,32.36363636,12.8,0,76.18,1
1,11,2018,34.76363636,32.54545455,11.6,0,76.15,1
1,11,2018,34.4,34.25454545,9.2,0,75.83,1
1,11,2018,33.78181818,33.09090909,10.4,0,75.79,1
1,11,2018,25.49090909,32.18181818,12.4,0,75.63,1
1,11,2018,35.92727273,29.85454545,13.2,0,75.19,1
1,11,2018,33.67272727,31.45454545,12,0,74.84,1
1,11,2018,35.6,31.30909091,10.8,0,74.53,1
1,11,2018,34.47272727,30.98181818,12,0,74.46,1
1,11,2018,35.96363636,33.34545455,10,0,74.27,1
1,11,2018,24.8,33.30909091,11.2,0,74.15,1
1,11,2018,32.94545455,34.8,9.2,0,74.05,1
1,11,2018,36.83636364,30.94545455,10.4,0,73.85,1
1,11,2018,33.63636364,33.01818182,9.2,0,73.83,1
1,11,2018,33.71428571,33.23636364,8.8,0,73.57,1
1,11,2018,32.21818182,30.54545455,11.6,0,73.48,1
1,11,2018,33.01818182,32.03636364,10,0,73.44,1
1,11,2018,35.01818182,33.49090909,8,0,73.18,1
1,11,2018,30.98181818,33.16363636,9.2,0,73.11,1
1,11,2018,34.32727273,32.32727273,10.8,2,73.09,1
1,11,2018,31.89090909,33.6,8.4,0,72.84,1
1,11,2018,34.47272727,33.56363636,7.6,0,72.49,1
1,11,2018,31.49090909,31.16363636,11.2,0,72.47,1
1,11,2018,36.76363636,31.67272727,10.4,2,72.43,1
1,11,2018,33.23636364,33.34545455,8,0,72.35,1
1,11,2018,34.10909091,32.50909091,8.4,0,72.09,1
1,11,2018,28.50909091,32.50909091,9.6,0,71.93,1
1,11,2018,28.54545455,33.34545455,8.8,0,71.91,1
1,11,2018,32.25454545,31.27272727,11.2,0,71.87,1
1,11,2017,31.05454545,31.78181818,11.2,2,71.78,1
1,11,2018,30.85714286,32,9.2,0,71.44,1
1,11,2018,35.41818182,32.72727273,8.8,0,71.41,1
1,11,2018,34.50909091,33.2,7.2,0,71.39,1
1,11,2018,29.89090909,31.34545455,10,0,71.38,1
1,11,2016,30.54545455,30.47272727,13.2,4,71.37,1
1,11,2017,32.50909091,30.61818182,11.6,2,71.26,1
1,11,2018,35.49090909,32.54545455,8,0,71,1
1,11,2018,34.8,30.94545455,9.6,0,70.92,1
1,11,2018,33.78181818,30.03636364,10,0,70.91,1
1,11,2017,37.78181818,33.6,8,2,70.86,1
1,11,2018,37.34545455,31.2,8,0,70.79,1
1,11,2018,35.01818182,31.89090909,9.2,0,70.7,1
1,11,2017,35.70909091,30.25454545,10.8,2,70.67,1
1,11,2018,35.2,31.01818182,8.4,0,70.38,1
1,11,2018,30.87272727,31.16363636,9.2,0,70.27,1
1,11,2018,34.03636364,31.2,8.4,0,70.23,1
1,11,2018,23.89090909,31.33333333,12,0,70.23,1
1,11,2018,34.36363636,31.81818182,8.4,0,70.19,1
1,11,2018,26.72727273,31.76666667,10,0,69.85,1
1,11,2018,32.8,32.43636364,7.2,0,69.73,1
1,11,2018,32.65454545,30.72727273,8.8,0,69.68,1
1,11,2018,32.43636364,27.89090909,12.8,0,69.6,1
1,11,2018,24.8,30.90909091,10.4,0,69.59,1
1,11,2018,34.94545455,31.2,8.4,0,69.53,1
1,11,2018,33.78181818,28.21818182,11.2,0,69.15,1
1,11,2018,34,24.25454545,14.8,0,69.07,1
1,11,2018,37.01818182,31.09090909,7.6,0,68.9,1
1,11,2017,31.38181818,30.58181818,9.6,2,68.83,1
1,11,2018,30.69090909,25.41818182,13.6,0,68.76,1
1,11,2016,33.23636364,32.07272727,10,4,68.73,1
1,11,2018,36.43636364,31.2,6.8,0,68.67,1
1,11,2018,25.2,31.38181818,9.2,0,68.59,1
1,11,2018,29.45454545,27.41818182,12.4,0,68.31,1
1,11,2018,26.03636364,32.4,9.2,0,68.27,1
1,11,2018,26.8,33.63636364,6.4,0,68.11,1
1,11,2018,33.74545455,31.41818182,6.8,0,68.03,1
1,11,2018,31.51111111,26.98181818,12.8,0,68,1
1,11,2018,33.81818182,30.90909091,7.2,0,67.95,1
1,11,2018,31.52727273,25.85454545,12.4,0,67.87,1
1,11,2018,33.45454545,30.87272727,7.2,0,67.77,1
1,11,2018,27.02222222,25.16363636,14,0,67.72,1
1,11,2018,34.69090909,28.47272727,10.4,0,67.6,1
1,11,2018,25.70909091,30.50909091,9.2,0,67.55,1
1,11,2018,34.32727273,28.58181818,9.6,0,67.45,1
1,11,2018,24.4,31.23333333,10,0,67.27,1
1,11,2018,26.98181818,31.27272727,8,0,67.26,1
1,11,2018,34.94545455,30.07272727,7.2,0,67.17,1
1,11,2018,33.6,31.23636364,6.4,0,67.13,1
1,11,2018,32.99047619,27.52727273,10,0,67.12,1
1,11,2018,34.76363636,28.14545455,9.6,0,66.99,1
1,11,2018,33.27272727,28.21818182,9.2,0,66.99,1
1,11,2018,32.83636364,30.18181818,8.8,0,66.95,1
1,11,2017,29.89090909,28.58181818,11.2,2,66.89,1
1,11,2018,34.97142857,27.89090909,10.4,0,66.89,1
1,11,2018,36,30.29090909,7.2,0,66.83,1
1,11,2018,29.6,29.78181818,8.4,0,66.69,1
1,11,2018,34.03636364,28.14545455,8.8,0,66.55,1
1,11,2018,34.32727273,28.90909091,8,0,66.52,1
1,11,2018,32.83636364,29.16363636,8,0,66.36,1
1,11,2017,21.92941176,26.87272727,13.6,2,66.33,1
1,11,2018,30.4,27.41818182,10.8,0,66.24,1
1,11,2018,33.38181818,26.21818182,11.2,0,66.21,1
1,11,2017,21.63809524,28.07272727,12.4,2,66.11,1
1,11,2018,33.23636364,30.29090909,8,0,66.04,1
1,11,2018,32.54545455,30.69090909,6.4,0,65.99,0
1,11,2018,33.2,26.07272727,11.2,0,65.94,0
1,11,2017,34.10909091,28.4,10.4,2,65.9,0
1,11,2018,37.63636364,34.36363636,12.4,0,79.88,1
1,11,2017,35.6,33.74545455,12.8,2,77.5,1
1,11,2016,33.92727273,28.58181818,14.8,4,72.31,1
1,11,2018,34.58181818,29.6,10.8,0,70.76,1
1,11,2018,28.87272727,30.98181818,9.6,0,69.92,1
1,11,2017,30.43636364,28.69090909,13.2,2,69.22,1
1,11,2018,23.45454545,32.03636364,8.4,0,67.7,1
1,11,2018,27.6,30.47272727,8.8,0,67.56,1
1,11,2018,23.41818182,29.41818182,10.4,0,67.02,1
1,11,2018,25.09090909,28.58181818,10,0,65.83,0
1,11,2018,33.96363636,30.07272727,7.2,0,65.81,0
1,11,2018,23.96363636,30.54545455,8.4,0,65.79,0
1,11,2018,31.12727273,30,7.2,0,65.73,0
1,11,2018,24.90909091,29.30909091,9.2,0,65.59,0
1,11,2018,29.05454545,28.43636364,10.4,0,65.58,0
1,11,2018,28.18181818,29.93333333,9.2,0,65.57,0
1,11,2018,27.27272727,31.27272727,6.8,0,65.56,0
1,11,2018,31.92727273,28.8,8,0,65.53,0
1,11,2018,31.05454545,29.78181818,7.2,0,65.4,0
1,11,2018,28.32727273,29.56363636,8,0,65.34,0
1,11,2018,25.56363636,30.65454545,7.6,0,65.3,0
1,11,2017,31.12727273,26.29090909,11.2,2,65.14,0
1,11,2018,32.50909091,28.8,7.6,0,65.13,0
1,11,2018,32.87272727,29.38181818,7.6,0,65.06,0
1,11,2018,33.89090909,28.50909091,8.8,0,64.97,0
1,11,2018,29.78181818,24.61818182,12,0,64.93,0
1,11,2018,34.07272727,31.23636364,4.8,0,64.89,0
1,11,2018,32.07619048,29.30909091,8.4,0,64.86,0
1,11,2018,28.69090909,28.32727273,8,0,64.75,0
1,11,2018,34.14545455,27.52727273,8.8,0,64.71,0
1,11,2017,29.85454545,25.67272727,12.4,2,64.61,0
1,11,2018,29.01818182,31.81818182,5.2,0,64.54,0
1,11,2018,28.69090909,26.87272727,9.2,0,64.52,0
1,11,2018,36.36363636,24.98181818,11.2,0,64.5,0
1,11,2018,35.49090909,32.54545455,8,0,71,1
1,11,2018,26.8,33.63636364,6.4,0,68.11,1
1,11,2018,33.45454545,30.87272727,7.2,0,67.77,1
1,11,2018,33.38181818,26.21818182,11.2,0,66.21,1
1,11,2018,26.76363636,31.18873239,7.6,0,64.43,0
1,11,2018,25.52727273,31.2,6.4,0,64.25,0
1,11,2018,34.78095238,24.87272727,10.8,0,64.21,0
1,11,2017,28.72727273,26.94545455,11.2,2,64.2,0
1,11,2018,35.38181818,28.25454545,6.8,0,64.18,0
1,11,2018,26.87272727,31.23636364,6,0,64.17,0
1,11,2017,30.69090909,28.14545455,9.6,2,64.16,0
1,11,2018,31.05454545,27.89090909,8.8,0,64.13,0
1,11,2017,27.45454545,27.49090909,11.6,2,64.1,0
1,11,2018,21.27272727,28.25454545,10,0,64.04,0
